CLIENT_SUBCATEGORY,CLIENT_CATEGORY,GDW_SUBCAT,GDW_CAT,DIRECT_INDIRECT,INDUSTRY,SUM(TOTAL_AMOUNT)
GENERAL ADVERTISING,MARKETING,WORKING MEDIA,MARKETING,INDIRECT,Chemicals & Related Products,2087280.297
WATER TREATMENT,REAL ESTATE & FACILITIES,WATER TREATMENT,REAL ESTATE & FACILITIES,INDIRECT,Chemicals & Related Products,1894431.283
LICENSES & PERMITS,UNADDRESSABLE,LICENSES & PERMITS,UNADDRESSABLE,UNADDRESSABLE,Chemicals & Related Products,450546.578
CAFETERIA / CATERING SERVICES,REAL ESTATE & FACILITIES,FOOD SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Chemicals & Related Products,2620318.961
REVENUE ADJUSTMENTS / REIMBURSEMENTS,UNADDRESSABLE,REVENUE ADJUSTMENTS / REIMBURSEMENTS,UNADDRESSABLE,UNADDRESSABLE,Chemicals & Related Products,11265813.38
PAPER BAGS,PACKAGING,BAGS & SACKS,PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Chemicals,4096565.602
LANDSCAPING / SNOW REMOVAL,FACILITY SERVICES,LANDSCAPING & SNOW REMOVAL,REAL ESTATE & FACILITIES,INDIRECT,Chemicals,913513.8669
SAFETY SUPPLIES,MRO AND CAPITAL EQUIPMENT,SAFETY SUPPLIES,MRO,INDIRECT,Chemicals,993950.0149
CHARITABLE CONTRIBUTIONS,UNADDRESSABLE,CHARITABLE CONTRIBUTIONS,UNADDRESSABLE,UNADDRESSABLE,Finance,1045472.549
BOARD / DIRECTORS FEES,UNADDRESSABLE,BOARD / DIRECTORS FEES,UNADDRESSABLE,UNADDRESSABLE,Finance,352294.3933
ADVISORY & MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,ADVISORY & MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,INDIRECT,Finance,98181581.38
THIRD PARTY MAINTENANCE,TECHNOLOGY,THIRD PARTY MAINTENANCE,INFORMATION TECHNOLOGY,INDIRECT,Finance,48783.6625
BUSINESS MOVING,GENERAL EXPENSES,MOVING SERVICES,HR,INDIRECT,Consumer Packaged Goods (CPG),1270872.095
CAPSULE,DIRECT - API / EXCIPIENT,PHARMACEUTICALS,MEDICAL PRODUCTS/SERVICES,DIRECT,Pharmaceuticals,22744483.05
Fleet Vehicle Acquisition,Fleet,FLEET MANAGEMENT & LEASING,FLEET,,Aerospace & Defense,5251029.078
Executive Search,HR Services,RECRUITING,HR,,Aerospace & Defense,1688488.96
"TESTING, INSPECTION & CERTIFICATION",MRO,QUALITY TESTING & INSPECTION,OUTSIDE PROCESSING,INDIRECT,Manufacturing,95268.54
LAB EQUIPMENT,MRO,LAB SUPPLIES,MEDICAL PRODUCTS/SERVICES,INDIRECT,Manufacturing,41771.77
PUBLIC RELATIONS,MARKETING,PUBLIC RELATIONS AGENCIES,MARKETING,INDIRECT,Manufacturing,299289.09
PROFESSIONAL ASSOCIATIONS,CORPORATE,MEMBERSHIPS,CORPORATE,INDIRECT,Manufacturing,49087.25
Office Equipment,IT,OFFICE EQUIPMENT,INFORMATION TECHNOLOGY,,Insurance,3467017.96
Full Service Marketing Agencies,Marketing,ADVERTISING AGENCIES,MARKETING,INDIRECT,Insurance,131363063.1
Public Relations,Marketing,PUBLIC RELATIONS AGENCIES,MARKETING,,Insurance,3284990.99
Laptops & Peripherals,IT,END USER DEVICES,INFORMATION TECHNOLOGY,INDIRECT,Insurance,17911257.92
Ocean Freight & Forwarding,Transportation & Logistics,OCEAN FREIGHT,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Communications,766177.63
Warehouses & Storage,Transportation & Logistics,WAREHOUSING,TRANSPORTATION & LOGISTICS,,Communications,546071.96
EVENT EXHIBITS & DISPLAYS,MARKETING,EVENT EXHIBITS & DISPLAYS,MARKETING,INDIRECT,Retail,38250.01
BUILDING REPAIR & MAINTENANCE,MRO,BUILDING REPAIR & MAINTENANCE,REAL ESTATE & FACILITIES,INDIRECT,Pharmaceuticals,49189050.23
HOTELS,TRAVEL & AUTO,HOTELS,TRAVEL,INDIRECT,Pharmaceuticals,1191335.988
RECRUITING,HR SERVICES,RECRUITING,HR,INDIRECT,Pharmaceuticals,9712714.023
CORPORATE INSURANCE,PROFESSIONAL SERVICES,CORPORATE INSURANCE,CORPORATE,INDIRECT,Pharmaceuticals,11245528.98
HOTELS,TRAVEL,HOTELS,TRAVEL,INDIRECT,Federal,7561831.64
PUBLIC STORAGE,CORPORATE,PUBLIC STORAGE,CORPORATE,INDIRECT,Federal,565216.14
LIFT TRUCKS,MRO,LIFT TRUCKS,MATERIAL HANDLING EQUIPMENT,INDIRECT,Federal,401248.68
BUILDING CONSTRUCTION,CONSTRUCTION & EQUIPMENT,BUILDING CONSTRUCTION,CONSTRUCTION & EQUIPMENT,INDIRECT,Federal,43788436.72
DOCUMENT MANAGEMENT & SHREDDING,CORPORATE,DOCUMENT MANAGEMENT & SHREDDING,CORPORATE,INDIRECT,Federal,614774.71
POSTAGE & POSTAGE EQUIPMENT,CORPORATE,POSTAGE & POSTAGE EQUIPMENT,CORPORATE,INDIRECT,Federal,1884712.58
LOCKSMITH,REAL ESTATE & FACILITIES,LOCKSMITH,REAL ESTATE & FACILITIES,INDIRECT,Federal,51282.64
ENGINEERING CONSTRUCTION SERVICES,CONSTRUCTION & EQUIPMENT,ENGINEERING CONSTRUCTION SERVICES,CONSTRUCTION & EQUIPMENT,INDIRECT,Federal,3718443.57
TRANSLATION SERVICES,PROFESSIONAL SERVICES,TRANSLATION SERVICES,PROFESSIONAL SERVICES,INDIRECT,Federal,4503366.12
INDUSTRIAL GASES,MRO,INDUSTRIAL GASES,MRO,INDIRECT,Federal,4227179.01
FLOORING,CONSTRUCTION & EQUIPMENT,FLOORING,CONSTRUCTION & EQUIPMENT,INDIRECT,Federal,549003.4
EMPLOYEE RECOGNITION,HR,EMPLOYEE RECOGNITION,HR,INDIRECT,Federal,873188.99
END USER DEVICES,INFORMATION TECHNOLOGY,END USER DEVICES,INFORMATION TECHNOLOGY,INDIRECT,Federal,419713.65
CREDIT RATINGS AGENCIES,CORPORATE,CREDIT RATINGS AGENCIES,CORPORATE,INDIRECT,Federal,1475500
HEALTH & WELLNESS,HR,HEALTH & WELLNESS,HR,INDIRECT,Federal,835283.25
TRAVEL CARD,TRAVEL,TRAVEL CARD,TRAVEL,INDIRECT,Federal,40084318.09
MDR & SECURITY SERVICES,INFORMATION TECHNOLOGY,MDR & SECURITY SERVICES,INFORMATION TECHNOLOGY,INDIRECT,Federal,76134.5
SERVICE & WORK MGMT SOFTWARE,INFORMATION TECHNOLOGY,SERVICE & WORK MGMT SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Business Services,716
PROPANE,MRO,PROPANE,CHEMICALS,INDIRECT,Business Services,25189.18
PALLETS & CRATES,PACKAGING,PALLETS & CRATES,PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Business Services,22.76
IDAM & AUTHENTICATION TECH,INFORMATION TECHNOLOGY,IDAM & AUTHENTICATION TECH,INFORMATION TECHNOLOGY,INDIRECT,Business Services,5345
Fuel & Fuel Cards,Fleet,FUEL,FLEET,INDIRECT,Aerospace & Defense,1975045.52
TAXES & FEES,UNADDRESSABLE,TAXES & FEES,UNADDRESSABLE,,Medical & Surgical Hospitals,4464452.53
BULK WASTE PICKUP,REAL ESTATE & FACILITIES,BULK WASTE PICKUP,REAL ESTATE & FACILITIES,INDIRECT,Retail,4784.01
GEOSPATIAL TECH,INFORMATION TECHNOLOGY,GEOSPATIAL TECH,INFORMATION TECHNOLOGY,INDIRECT,Retail,0.02
E-DISCOVERY,PROFESSIONAL SERVICES,E-DISCOVERY,PROFESSIONAL SERVICES,INDIRECT,Retail,0.01
KITCHEN EQUIPMENT,REAL ESTATE & FACILITIES,KITCHEN EQUIPMENT,REAL ESTATE & FACILITIES,INDIRECT,Food & Beverage,439.03
GENERATORS,MRO,GENERATORS,REAL ESTATE & FACILITIES,INDIRECT,Food and Beverage,1059090.07
PRODUCTIVITY SOFTWARE,INFORMATION TECHNOLOGY & TELECOMMUNICATION,PRODUCTIVITY & WORKSPACE APPS,INFORMATION TECHNOLOGY,INDIRECT,Retail,297118.1953
Photography / Videography,Sales & Marketing,MEDIA PRODUCTION,MARKETING,INDIRECT,Pharmaceuticals,3763066.31
Uniforms/Mats/Towel/Service,MRO,UNIFORM & LINEN SERVICE,MRO,,Pharmaceuticals,25830.52
Courier Services,Tech Ops,COURIER SERVICES,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Pharmaceuticals,3486467.63
Fleet Management & Leasing,Fleet,FLEET MANAGEMENT & LEASING,FLEET,,Pharmaceuticals,4794703.68
Background Checks & Drug Testing,HR,BACKGROUND CHECKS & DRUG TESTING,HR,INDIRECT,Pharmaceuticals,332112.63
ELECTRICAL SERVICES,MRO,ELECTRICAL SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Food and Beverage,6318936.41
SIGNAGE & DISPLAYS,MARKETING,SIGNAGE & GRAPHICS,PRINT,,Food and Beverage,278309.06
POSTAGE & POSTAGE EQUIPMENT,CORPORATE & PROFESSIONAL SERVICES,POSTAGE & POSTAGE EQUIPMENT,CORPORATE,INDIRECT,Food and Beverage,252828.48
PROPERTY MANAGEMENT,REAL ESTATE & FACILITIES,PROPERTY MANAGEMENT,REAL ESTATE & FACILITIES,INDIRECT,Food and Beverage,256265.3
Intermodal,Transportation & Logistics,INTERMODAL,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Consumer Packaged Goods (CPG),1631672.79
Janitorial Supplies,MRO Supplies,JANITORIAL SUPPLIES,MRO,INDIRECT,Communications,749.67
ON-SITE CLINIC,HR,ON-SITE CLINIC,HR,INDIRECT,Education,70600
CRANES & HOISTS,CONSTRUCTION & EQUIPMENT,CRANES & HOISTS,MATERIAL HANDLING EQUIPMENT,INDIRECT,Education,50721.43
FACILITY / PROPERTY RENT,REAL ESTATE,FACILITY / PROPERTY RENT,REAL ESTATE & FACILITIES,INDIRECT,Medical & Surgical Hospitals,40498987.33
NETWORK INFRASTRUCTURE,INFORMATION TECHNOLOGY,NETWORK INFRASTRUCTURE,INFORMATION TECHNOLOGY,INDIRECT,Medical & Surgical Hospitals,1520815.87
FUEL,TRAVEL,FUEL,FLEET,INDIRECT,Medical & Surgical Hospitals,12807.73
BUILDING CONSTRUCTION,REAL ESTATE,BUILDING CONSTRUCTION,CONSTRUCTION & EQUIPMENT,INDIRECT,Medical & Surgical Hospitals,9717402.06
ELECTRICAL SERVICES,FACILITIES AND SUPPORT SERVICES,ELECTRICAL SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Medical & Surgical Hospitals,82127.8
CAFETERIA / CATERING SERVICES,FACILITIES AND SUPPORT SERVICES,FOOD SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Medical & Surgical Hospitals,164264.3
FLEET MAINTENANCE & REPAIR,FLEET,FLEET MAINTENANCE & REPAIR,FLEET,INDIRECT,Medical & Surgical Hospitals,1979.71
HCM & PAYROLL SOLUTIONS,INFORMATION TECHNOLOGY,HCM & PAYROLL SOLUTIONS,INFORMATION TECHNOLOGY,INDIRECT,Food and Beverage,105.22
AD AGENCIES,MARKETING,ADVERTISING AGENCIES,MARKETING,,Banking,38409264.32
COURIER SERVICE,TRANSPORTATION & LOGISTICS,COURIER SERVICES,TRANSPORTATION & LOGISTICS,,Banking,737566.78
CYBER SECURITY,IT PRODUCTS & SERVICES,DATA SECURITY SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Banking,13978510.42
SIGNAGE AND DISPLAYS,MARKETING,SIGNAGE & GRAPHICS,PRINT,INDIRECT,Banking,2036103.28
TEMPORARY LABOR,HR SERVICES,CONTINGENT LABOR,HR,INDIRECT,Banking,3221519.53
WEALTH MANAGEMENT,BANKING PRODUCTS & SERVICES,FINANCIAL & RISK ADVISORY,PROFESSIONAL SERVICES,INDIRECT,Banking,9197364.63
WATER & SEWER,UTILITIES,WATER & SEWER,UTILITIES,INDIRECT,Banking,180863.15
VIDEO STREAMING & CONTENT DEV,SOFTWARE,VIDEO STREAMING & CONTENT DEV,INFORMATION TECHNOLOGY,INDIRECT,Food and Beverage,137620.88
IT RESEARCH & ADVISORY,INFORMATION TECHNOLOGY,IT RESEARCH & ADVISORY,INFORMATION TECHNOLOGY,INDIRECT,Drug Stores & Pharmacies,354266.86
MARKET RESEARCH,INVESTMENTS,MARKET RESEARCH,MARKETING,INDIRECT,Real Estate,15881.32
TALENT MGMT & RECRUITING SOFTWARE,SOFTWARE,TALENT MGMT & RECRUITING SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Real Estate,994
HR SERVICES,HR SERVICES,HR SERVICES,HR,INDIRECT,Real Estate,29447.5
AIR FREIGHT,TRANSPORTATION & LOGISTICS,AIR FREIGHT,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Insurance,26412.64
PALLETS & CRATES,PACKAGING PRODUCTS,PALLETS & CRATES,PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Insurance,28325.81
TELECOM & CONTACT INFRASTRUCTURE,INFORMATION TECHNOLOGY,TELECOM & CONTACT INFRASTRUCTURE,INFORMATION TECHNOLOGY,INDIRECT,Insurance,397412.11
SETTLEMENTS / INSURANCE CLAIMS,UNADDRESSABLE,SETTLEMENTS / INSURANCE CLAIMS,UNADDRESSABLE,UNADDRESSABLE,Industrial Manufacturing,194888.77
AUDIT SERVICES,FINANCE,ACCOUNTING & AUDITING,PROFESSIONAL SERVICES,INDIRECT,Pharmaceuticals,17045771.75
