CLIENT_SUBCATEGORY,CLIENT_CATEGORY,GDW_SUBCAT,GDW_CAT,DIRECT_INDIRECT,INDUSTRY,SUM(TOTAL_AMOUNT)
COATING & FINISHING,"MFG, ENG & QUALITY SERVICES",PAINTING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Manufacturing,71502971.26
COURIER SERVICES,TRANSPORTATION & LOGISTICS,COURIER SERVICES,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Manufacturing,513796918.8
CUSTOMER LOYALTY PROGRAMS,MARKETING,PROMOTIONS & CUSTOMER LOYALTY,MARKETING,INDIRECT,Manufacturing,1240373.533
WORKER'S COMPENSATION INSURANCE,"HR, INSURANCE & BENEFITS",WORKERS COMPENSATION INSURANCE,CORPORATE,INDIRECT,Manufacturing,23673242.04
Taxes,Taxes & Government Fees,TAXES & FEES,UNADDRESSABLE,UNADDRESSABLE,Media,7924791462
Wireless Services,Telecom & Network Services,WIRELESS,INFORMATION TECHNOLOGY,INDIRECT,Media,310364872.1
Postage & Postage Equipment,Office Operations,POSTAGE & POSTAGE EQUIPMENT,CORPORATE,INDIRECT,Media,33270695.49
Landscaping & Snow Removal,Facility Services,LANDSCAPING & SNOW REMOVAL,REAL ESTATE & FACILITIES,,Media,12562555.01
Building Materials,Set Design Construction & Materials,BUILDING MATERIALS,MRO,DIRECT,Media,47249935.03
Media Planning & Buying Agencies,Advertising / Media,MEDIA BUYING & PLANNING,MARKETING,INDIRECT,Media,12382109169
Background Checks & Drug Testing,HR Services,BACKGROUND CHECKS & DRUG TESTING,HR,,Media,23981659.5
Petty Cash,Finance Charges,PETTY CASH,UNADDRESSABLE,UNADDRESSABLE,Media,10603785.31
4PL / Control Tower,Shipping & Logistics,THIRD PARTY LOGISTICS (3PL),TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Media,1986974.828
Cleaning Supplies,MRO Supplies,JANITORIAL SUPPLIES,MRO,INDIRECT,Media,10322632.67
Onsite Clinic,Facility Services,ON-SITE CLINIC,HR,INDIRECT,Media,35974266.64
TOLLS,TRAVEL & EXPENSE,TOLLS,TRAVEL,INDIRECT,Business Services,6963585.274
PACKAGING SUPPLIES,PACKAGING PRODUCTS,PACKAGING SUPPLIES,PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Business Services,309094569.9
TRUCKLOAD,TRANSPORTATION & LOGISTICS,TRUCKLOAD,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Business Services,481025778.8
LABELS,PACKAGING PRODUCTS,LABELS,PRINT,LOGISTICS & PACKAGING,Business Services,43781638
ERP,INFORMATION TECHNOLOGY,ERP,INFORMATION TECHNOLOGY,INDIRECT,Business Services,243462493.8
WAREHOUSING,TRANSPORTATION & LOGISTICS,WAREHOUSING,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Business Services,49127226.37
SUPPLY CHAIN SOFTWARE,INFORMATION TECHNOLOGY,SUPPLY CHAIN SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Business Services,174939517.4
AUTO RENTAL,TRAVEL,AUTO RENTAL,TRAVEL,INDIRECT,Food and Beverage,17366514.67
HANGERS,PROCESSING SUPPLIES & SERVICES,STORE SUPPLIES,STORE OPERATIONS,INDIRECT,Food and Beverage,48766303.72
PRINTING & SHIPPING CENTER,CORPORATE,PRINTING & SHIPPING CENTER,CORPORATE,INDIRECT,Food and Beverage,995895.0628
PROFESSIONAL ASSOCIATIONS,CORPORATE,MEMBERSHIPS,CORPORATE,INDIRECT,Food and Beverage,8771537.287
OUTPLACEMENT SERVICES,HR,OUTPLACEMENT SERVICES,HR,,Food and Beverage,2390889.582
SUPPLY CHAIN SOFTWARE,INFORMATION TECHNOLOGY,SUPPLY CHAIN SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Food and Beverage,30388133.78
LIGHTING,MRO,LIGHTING,MRO,INDIRECT,Food and Beverage,394320.2499
YEAST,"FOOD, BEVERAGE, & NUTRITION",DRY GOODS,FOOD AND INGREDIENTS,DIRECT,Pharmaceuticals,1412536.75
EQUIPMENT MAINTENANCE & REPAIR,MRO,EQUIPMENT MAINTENANCE & REPAIR,MRO,INDIRECT,Pharmaceuticals,66250734.11
CO-OP ADVERTISING,MARKETING,CO-OP ADVERTISING,MARKETING,INDIRECT,Pharmaceuticals,16729080.36
TAXES & FEES,UNADDRESSABLE,TAXES & FEES,UNADDRESSABLE,,Pharmaceuticals,265656504.6
GOVERNMENT AFFAIRS,LEGAL SERVICES,LEGAL SERVICES,PROFESSIONAL SERVICES,INDIRECT,Pharmaceuticals,8099548.376
"DATA INTEGRATION, MIGRATION & MGMT",INFORMATION TECHNOLOGY,"DATA INTEGRATION, MIGRATION & MGMT",INFORMATION TECHNOLOGY,INDIRECT,Pharmaceuticals,4243815.335
PLASTIC BOTTLES,PACKAGING PRODUCTS,PLASTIC CONTAINERS/TOTES,PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Pharmaceuticals,18580689.25
CALIBRATION,MRO,CALIBRATION,MRO,INDIRECT,Pharmaceuticals,9637737.907
WIRELESS,INFORMATION TECHNOLOGY,WIRELESS,INFORMATION TECHNOLOGY,INDIRECT,Pharmaceuticals,2423429.456
YOGURT ANALOGS,"FOOD, BEVERAGE, & NUTRITION",DAIRY PRODUCTS,FOOD AND INGREDIENTS,DIRECT,Pharmaceuticals,388869.4215
LABEL DESIGN,MARKETING,CREATIVE AGENCIES,MARKETING,INDIRECT,Pharmaceuticals,933800
VITAMIN A PALMITATE,CHEMICALS,VITAMINS,CHEMICALS,DIRECT,Pharmaceuticals,29704.76
END USER DEVICES,INFORMATION TECHNOLOGY,END USER DEVICES,INFORMATION TECHNOLOGY,INDIRECT,Pharmaceuticals,28459071.55
FLEET MANAGEMENT & LEASING,FLEET,FLEET MANAGEMENT & LEASING,FLEET,INDIRECT,Pharmaceuticals,26370785.97
AUTOMATION (BPA & RPA),INFORMATION TECHNOLOGY,AUTOMATION (BPA & RPA),INFORMATION TECHNOLOGY,INDIRECT,Holding Companies,949390.8973
WORKING MEDIA - TV ADVERTISING (LINEAR / OTT),MARKETING,WORKING MEDIA - TV ADVERTISING (LINEAR / OTT),MARKETING,INDIRECT,Holding Companies,172404.6
JOB BOARDS,HR,JOB BOARDS,HR,INDIRECT,Education,13583358.28
FINANCIAL & MARKET DATA,CORPORATE,FINANCIAL & MARKET DATA,CORPORATE,INDIRECT,Education,12715275.24
FLOORING,CONSTRUCTION & EQUIPMENT,FLOORING,CONSTRUCTION & EQUIPMENT,INDIRECT,Education,35645813.52
Auto Rental,Travel,AUTO RENTAL,TRAVEL,,Retail,50404914.44
"Parking, Tickets & Tolls",Travel,PARKING,TRAVEL,INDIRECT,Retail,19081577.27
Ocean Freight & Forwarding,Transportation & Logistics,OCEAN FREIGHT,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Retail,892073091.9
Charter Aircraft,Travel,CORPORATE AIRCRAFT,CORPORATE,INDIRECT,Retail,26259152.45
MEALS & ENTERTAINMENT,CORPORATE SERVICES,MEALS & ENTERTAINMENT,TRAVEL,INDIRECT,Retail,46421205.4
ARMORED TRANSPORT,MERCHANDISING SUPPORT AND SERVICES,ARMORED TRANSPORT,BANKING SERVICES,INDIRECT,Retail,106013424.9
JANITORIAL SUPPLIES,PACKAGING & CONSUMABLE SUPPLIES,JANITORIAL SUPPLIES,MRO,LOGISTICS & PACKAGING,Retail,101917148.2
IT Contingent Labor,IT Professional Services & Consulting,IT STAFFING,INFORMATION TECHNOLOGY,INDIRECT,Media,60889770.68
CONSULTING,PROFESSIONAL SERVICES,ADVISORY & MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,INDIRECT,Business Services,879053286
TRAINING & DEVELOPMENT,HR,TRAINING & DEVELOPMENT,HR,INDIRECT,Business Services,85339247.54
EVENTS & CONFERENCES,SALES & MARKETING,EVENTS & CONFERENCES,MARKETING,INDIRECT,Business Services,169632793.4
REAL ESTATE SERVICES,REAL ESTATE & FACILITIES,REAL ESTATE SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Food and Beverage,2666725.639
CONVEYORS & SORTATION,MRO,CONVEYORS & SORTATION,CONSTRUCTION & EQUIPMENT,INDIRECT,Food and Beverage,87709337.44
ARMORED TRUCK SERVICES,CORPORATE,ARMORED TRANSPORT,BANKING SERVICES,INDIRECT,Food and Beverage,710436.1493
SALES & MARKETING SOFTWARE,INFORMATION TECHNOLOGY,SALES ENABLEMENT & PERFORMANCE,INFORMATION TECHNOLOGY,INDIRECT,Food and Beverage,13818852.86
OCEAN FREIGHT,TRANSPORTATION & LOGISTICS,OCEAN FREIGHT,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Food and Beverage,528977011
DENTAL INSURANCE,HR,DENTAL INSURANCE,HR,INDIRECT,Food and Beverage,56859235.53
DATA CENTER & COLOCATION SERVICES,INFORMATION TECHNOLOGY,DATA CENTER & COLOCATION,INFORMATION TECHNOLOGY,INDIRECT,Food and Beverage,6044309.88
SECURITY SOFTWARE,INFORMATION TECHNOLOGY,DATA SECURITY SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Food and Beverage,1035699.01
RECRUITING,HR,RECRUITING,HR,INDIRECT,Pharmaceuticals,18030492.09
SUPPLY CHAIN SOFTWARE,INFORMATION TECHNOLOGY,SUPPLY CHAIN SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Pharmaceuticals,6625454.265
BUILDING MATERIALS,MRO,BUILDING MATERIALS,MRO,INDIRECT,Pharmaceuticals,991207.4996
MEDICAL/SURGICAL SUPPLIES,PHARMACEUTICAL PRODUCTS/SERVICES,MEDICAL/SURGICAL SUPPLIES,MEDICAL PRODUCTS/SERVICES,DIRECT,Pharmaceuticals,392181.98
ERP,INFORMATION TECHNOLOGY,ERP,INFORMATION TECHNOLOGY,INDIRECT,Pharmaceuticals,49772722.84
PRINTING & SHIPPING CENTER,CORPORATE,PRINTING & SHIPPING CENTER,CORPORATE,INDIRECT,Pharmaceuticals,427321.63
UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED,,Holding Companies,302164238.7
CHARITABLE CONTRIBUTIONS,UNADDRESSABLE,CHARITABLE CONTRIBUTIONS,UNADDRESSABLE,UNADDRESSABLE,Holding Companies,174485736.6
CONTENT DELIVERY NETWORK,INFORMATION TECHNOLOGY,CONTENT DELIVERY NETWORK,INFORMATION TECHNOLOGY,INDIRECT,Holding Companies,1674101.28
MEMBERSHIPS,CORPORATE,MEMBERSHIPS,CORPORATE,INDIRECT,Holding Companies,2139315.918
SUNDRIES,CORPORATE,SUNDRIES,CORPORATE,INDIRECT,Holding Companies,658392.8439
ARCHITECTURE & INTERIOR DESIGN,CONSTRUCTION & EQUIPMENT,ARCHITECTURE & INTERIOR DESIGN,CONSTRUCTION & EQUIPMENT,INDIRECT,Holding Companies,595561.7531
OUTSIDE LABS,MEDICAL PRODUCTS/SERVICES,OUTSIDE LABS,MEDICAL PRODUCTS/SERVICES,INDIRECT,Education,4389342.393
ARMORED TRANSPORT,BANKING SERVICES,ARMORED TRANSPORT,BANKING SERVICES,INDIRECT,Education,1614643.966
TRAVEL MANAGEMENT,TRAVEL,TRAVEL MANAGEMENT,TRAVEL,INDIRECT,Education,51560371.31
CREATIVE AGENCIES,MARKETING,CREATIVE AGENCIES,MARKETING,INDIRECT,Education,28206972.94
SURVEY SOFTWARE,INFORMATION TECHNOLOGY,SURVEY SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Education,7061134.98
TELEMATICS & GPS TRACKING,FLEET,TELEMATICS & GPS TRACKING,FLEET,INDIRECT,Education,544926.54
LABORATORY FURNITURE,LIFE & PHYSICAL SCIENCES,OFFICE FURNITURE,REAL ESTATE & FACILITIES,INDIRECT,Education,767427.71
INTEGRATED FACILITIES MANAGEMENT,REAL ESTATE & FACILITIES,INTEGRATED FACILITIES MANAGEMENT,REAL ESTATE & FACILITIES,INDIRECT,Education,1185322.51
CONTENT DELIVERY NETWORK,INFORMATION TECHNOLOGY,CONTENT DELIVERY NETWORK,INFORMATION TECHNOLOGY,INDIRECT,Education,752060.44
B&M EQUIPMENT PURCHASE,BUILDINGS & MAINTENANCE,EQUIPMENT,CONSTRUCTION & EQUIPMENT,INDIRECT,Holding Companies,6799545.533
3RD PARTY STAFFING,LOGISTICS,THIRD PARTY LOGISTICS (3PL),TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Holding Companies,14379454.23
Truckload,Transportation & Logistics,TRUCKLOAD,TRANSPORTATION & LOGISTICS,,Retail,2764582714
Food Processing Lines & Equipment,Inventory,EQUIPMENT,CONSTRUCTION & EQUIPMENT,DIRECT,Retail,69553594.13
Media Buy,Marketing,WORKING MEDIA,MARKETING,INDIRECT,Retail,319410343.1
Worker's Compensation Insurance,Insurance & Benefits,WORKERS COMPENSATION INSURANCE,CORPORATE,INDIRECT,Retail,148178252.3
Employee Insurance & Benefits,Insurance & Benefits,INSURANCE & BENEFITS,HR,INDIRECT,Retail,505701183.7
HVAC / REFRIGERATION EQUIPMENT,EQUIPMENT,HVAC/R,REAL ESTATE & FACILITIES,INDIRECT,Retail,2568317427
TIRES,TRANSPORTATION & LOGISTICS,TIRES,FLEET,LOGISTICS & PACKAGING,Retail,35441727.89
CHARTER AIRCRAFT,CORPORATE SERVICES,CORPORATE AIRCRAFT,CORPORATE,INDIRECT,Retail,16505038.34
IT STAFFING,INFORMATION TECHNOLOGY,IT STAFFING,INFORMATION TECHNOLOGY,INDIRECT,Retail,50996025.85
INTEREST / DEBT PAYMENTS,UNADDRESSABLE,INTEREST / DEBT PAYMENTS,UNADDRESSABLE,UNADDRESSABLE,Retail,6461435003
VOICE,TELECOMMUNICATIONS,VOICE & DATA SERVICES,INFORMATION TECHNOLOGY,INDIRECT,Real Estate,100098965.3
SMALL PARCEL SHIPPING,TRANSPORTATION & LOGISTICS,SMALL PARCEL SHIPPING,TRANSPORTATION & LOGISTICS,,Real Estate,13314351.75
GENERAL INDUSTRIAL SUPPLIES,MRO,GENERAL INDUSTRIAL SUPPLIES,MRO,INDIRECT,Food and Beverage,1274865370
PACKAGING EQUIPMENT,CONSTRUCTION & EQUIPMENT,PACKAGING EQUIPMENT,CONSTRUCTION & EQUIPMENT,INDIRECT,Pharmaceuticals,15463870
CARBON DIOXIDE,CHEMICALS,INDUSTRIAL GASES,MRO,DIRECT,Pharmaceuticals,18410.03
SUNDRIES,CORPORATE,SUNDRIES,CORPORATE,INDIRECT,Pharmaceuticals,48135537.21
ACCOUNTING & AUDITING,PROFESSIONAL SERVICES,ACCOUNTING & AUDITING,PROFESSIONAL SERVICES,,Holding Companies,229751511.9
AFFILIATE MARKETING,MARKETING,AFFILIATE MARKETING,MARKETING,INDIRECT,Holding Companies,3493936.816
PERIPHERALS,INFORMATION TECHNOLOGY,PERIPHERALS,INFORMATION TECHNOLOGY,INDIRECT,Holding Companies,336016.228
AIRFARE,TRAVEL,AIRFARE,TRAVEL,INDIRECT,Education,79158904.18
LANDSCAPE MAINTENANCE,REAL ESTATE & FACILITIES,LANDSCAPE MAINTENANCE,REAL ESTATE & FACILITIES,INDIRECT,Education,56343171.46
END USER DEVICES,INFORMATION TECHNOLOGY,END USER DEVICES,INFORMATION TECHNOLOGY,INDIRECT,Education,229545542.8
ECOMMERCE & PAYMENT TECH,INFORMATION TECHNOLOGY,ECOMMERCE & PAYMENT TECH,INFORMATION TECHNOLOGY,INDIRECT,Education,21975702.27
TELECOM EXPENSE MANAGEMENT,INFORMATION TECHNOLOGY,TELECOM EXPENSE MANAGEMENT,INFORMATION TECHNOLOGY,INDIRECT,Education,648748.44
FLOWERS & GIFTS,CORPORATE SERVICES,FLOWERS & GIFTS,CORPORATE,INDIRECT,Retail,196073668.3
VOICE & DATA SERVICES,INFORMATION TECHNOLOGY,VOICE & DATA SERVICES,INFORMATION TECHNOLOGY,INDIRECT,Retail,611303775.3
PEST CONTROL,FACILITIES & MAINTENANCE,PEST CONTROL,REAL ESTATE & FACILITIES,INDIRECT,Retail,76766336.77
POWER TRANSMISSION & BEARINGS,PACKAGING & CONSUMABLE SUPPLIES,POWER TRANSMISSION & BEARINGS,MRO,LOGISTICS & PACKAGING,Retail,2315100.26
FLEET VEHICLE RENTAL,FLEET,FLEET MANAGEMENT & LEASING,FLEET,INDIRECT,Retail,9669958.19
PC'S (DESKTOP/LAPTOP),IT HARDWARE,END USER DEVICES,INFORMATION TECHNOLOGY,INDIRECT,Real Estate,80423554.82
BACKGROUND CHECKS & DRUG TESTING,HR SERVICES,BACKGROUND CHECKS & DRUG TESTING,HR,INDIRECT,Real Estate,6818475.621
LUBRICANTS & OILS,MRO,LUBRICANTS & OILS,MRO,INDIRECT,Education,4842630.15
BUSINESS CONSULTING,PRO FEES,ADVISORY & MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,,Holding Companies,56873558.64
JANITORIAL SERVICES,FACILITIES & MAINTENANCE,JANITORIAL SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Retail,531115191.6
VAR,IT SERVICES,VALUE ADDED RESELLER (VAR),INFORMATION TECHNOLOGY,INDIRECT,Real Estate,103492943.6
AIR FREIGHT,TRANSPORTATION & LOGISTICS,AIR FREIGHT,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Real Estate,511928.073
SAFETY SUPPLIES,SUPPLIES & SERVICES,SAFETY SUPPLIES,MRO,INDIRECT,Real Estate,31385229.91
TRUCKLOAD,TRANSPORTATION & LOGISTICS,TRUCKLOAD,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Real Estate,17247129.06
CORRUGATED,PACKING & SHIPPING SUPPLIES,CORRUGATED,PACKAGING PRODUCTS,INDIRECT,Business Services,1715139.776
BULLET PROOF & SECURITY UNIFORMS,SECURITY,UNIFORM & LINEN SERVICE,MRO,INDIRECT,Business Services,33949928.4
MARKETING EVENTS & TRADE SHOWS,MARKETING,EVENTS & CONFERENCES,MARKETING,INDIRECT,Business Services,7275001.878
PUBLIC RELATIONS,PROFESSIONAL SERVICES,PUBLIC RELATIONS AGENCIES,MARKETING,INDIRECT,Business Services,7348850.336
TELEMATICS & TECHNOLOGY,FLEET,TELEMATICS & GPS TRACKING,FLEET,INDIRECT,Business Services,61049064.73
Marketing & Advertising Agencies,Marketing,ADVERTISING AGENCIES,MARKETING,INDIRECT,Communications,47601957.26
Meals & Entertainment,Travel,MEALS & ENTERTAINMENT,TRAVEL,,Communications,15260192.12
Telecom Equipment / Maintenance,Communication Products & Services,TELECOM & CONTACT INFRASTRUCTURE,INFORMATION TECHNOLOGY,DIRECT,Communications,499906530
General Consulting,Professional Services,ADVISORY & MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,,Communications,48219615.56
Electricians & Electrical Services,Facilities Management & Maintenance,ELECTRICAL SERVICES,REAL ESTATE & FACILITIES,,Communications,21179138.56
Franchise & Acquisition Fees,Unaddressable,FRANCHISE & ACQUISITION FEES,UNADDRESSABLE,,Communications,76981339.97
Petty Cash,Unaddressable,PETTY CASH,UNADDRESSABLE,,Communications,365589.29
Handyman/General Maintenance Services,Real Estate & Facilities,PLUMBING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Education,15713923.05
Hotels & Conferences,Travel,HOTELS,TRAVEL,INDIRECT,Education,91656782.35
Internal Transfer,Unaddressable,INTERNAL TRANSFERS,UNADDRESSABLE,UNADDRESSABLE,Education,1118686712
Landscaping & Snow Removal,Real Estate & Facilities,LANDSCAPING & SNOW REMOVAL,REAL ESTATE & FACILITIES,,Education,1306026.832
UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED,,Industrial Manufacturing,100581937.6
SOFTWARE,IT,SOFTWARE,INFORMATION TECHNOLOGY,,Industrial Manufacturing,52412766.36
TAXES & FEES,UNADDRESSABLE,TAXES & FEES,UNADDRESSABLE,,Industrial Manufacturing,140841126
AUDIOVISUAL (AV) EQUIPMENT/SERVICES,MARKETING,AV & DISPLAY TECHNOLOGY,INFORMATION TECHNOLOGY,INDIRECT,Industrial Manufacturing,170128.8501
DINING & VENDING,REAL ESTATE & FACILITIES,VENDING,REAL ESTATE & FACILITIES,INDIRECT,Industrial Manufacturing,3378496.995
CORRUGATED,PACKING & SHIPPING SUPPLIES,CORRUGATED,PACKAGING PRODUCTS,INDIRECT,Industrial Manufacturing,1613666.717
FLEET MANAGEMENT & LEASING,FLEET,FLEET MANAGEMENT & LEASING,FLEET,INDIRECT,Industrial Manufacturing,23524571.8
LTL,TRANSPORTATION & LOGISTICS,LTL,TRANSPORTATION & LOGISTICS,,Industrial Manufacturing,43235809.75
PACKAGING MATERIALS,PACKING & SHIPPING SUPPLIES,PACKAGING SUPPLIES,PACKAGING PRODUCTS,INDIRECT,Industrial Manufacturing,9756558.42
EQUIPMENT ACQUISITION & FINANCING,MRO,EQUIPMENT,CONSTRUCTION & EQUIPMENT,INDIRECT,Industrial Manufacturing,6669230.46
FACILITIES MANAGEMENT,REAL ESTATE & FACILITIES,INTEGRATED FACILITIES MANAGEMENT,REAL ESTATE & FACILITIES,,Industrial Manufacturing,1957984.466
Taxi/Rideshare/Car Service,Travel,TAXI / RIDESHARE,TRAVEL,INDIRECT,Consumer Packaged Goods (CPG),13220723.73
Hotels & Lodging,Travel,HOTELS,TRAVEL,INDIRECT,Consumer Packaged Goods (CPG),85683256.36
Air Freight,Supply Chain,AIR FREIGHT,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Consumer Packaged Goods (CPG),245044889.4
MRO Supplies,Supply Chain,GENERAL INDUSTRIAL SUPPLIES,MRO,INDIRECT,Consumer Packaged Goods (CPG),11928078.11
Marketing Technology,Technology,CRM SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Consumer Packaged Goods (CPG),283240570.2
Electronic Security,Real Estate & Facilities,ELECTRONIC SECURITY,REAL ESTATE & FACILITIES,,Consumer Packaged Goods (CPG),31451841.46
Light Industrial Temporary Labor,Supply Chain,CONTINGENT LABOR,HR,INDIRECT,Consumer Packaged Goods (CPG),197819752.2
Company Paid Parking,Real Estate & Facilities,PARKING LOT / PAVING,CONSTRUCTION & EQUIPMENT,INDIRECT,Consumer Packaged Goods (CPG),2960755.057
Construction Project Management,Real Estate & Facilities,CONSTRUCTION PROJECT MANAGEMENT,CONSTRUCTION & EQUIPMENT,INDIRECT,Consumer Packaged Goods (CPG),55662899.43
Gift Cards,Marketing,FLOWERS & GIFTS,CORPORATE,,Consumer Packaged Goods (CPG),2881377.589
Power Transmission & Bearings,MRO Supplies,POWER TRANSMISSION & BEARINGS,MRO,,Media,1137810.729
PARKING,TRAVEL,PARKING,TRAVEL,INDIRECT,Insurance,89939809.56
CLOUD & APPLICATION VIRTUALIZATION SOFTWARE,IT SOFTWARE,CLOUD & APPLICATION VIRTUALIZATION,INFORMATION TECHNOLOGY,INDIRECT,Insurance,61925281.3
Medical Equipment,Medical Supplies & Services,LAB/MEDICAL EQUIPMENT,MEDICAL PRODUCTS/SERVICES,DIRECT,Education,909472148.6
HVAC,Facilities Management & Maintenance,HVAC/R,REAL ESTATE & FACILITIES,INDIRECT,Education,192903536.4
Natural Gas,Utilities,NATURAL GAS,UTILITIES,,Education,104633794.8
Relocation Services,HR Services,RELOCATION SERVICES,HR,,Education,41957591.95
Equipment Rental & Lease,MRO Supplies,EQUIPMENT RENTAL,MRO,INDIRECT,Education,22147843.84
Truckload,Transportation & Logistics,TRUCKLOAD,TRANSPORTATION & LOGISTICS,,Education,1806239.902
Clinical Supplies,R&D/Medical Affairs/Pharmacovigilance,LAB SUPPLIES,MEDICAL PRODUCTS/SERVICES,INDIRECT,Pharmaceuticals,15242162.88
Office Supplies,Administrative,OFFICE SUPPLIES,CORPORATE,,Pharmaceuticals,2898803.18
Advisory & Management Consulting: Strategy Consulting,Advisory & Management Consulting,ADVISORY & MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,INDIRECT,Pharmaceuticals,201949960.7
Full Service Marketing Agencies: Design Services,Sales & Marketing,CREATIVE,MARKETING,INDIRECT,Pharmaceuticals,2571458.5
Advisory & Management Consulting: Specialty Consulting,Advisory & Management Consulting,ADVISORY & MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,INDIRECT,Pharmaceuticals,39056797.88
Recruiting: Contingency Recruiting,HR,RECRUITING,HR,INDIRECT,Pharmaceuticals,14723077.92
Point-of-Sale Equipment,Store Operations,POINT OF SALE EQUIPMENT,INFORMATION TECHNOLOGY,INDIRECT,Retail,27183245.19
Interpreter & Translation Services,Marketing,TRANSLATION SERVICES,PROFESSIONAL SERVICES,,Retail,2142414.84
Armored Truck Services,Store Operations,ARMORED TRANSPORT,BANKING SERVICES,INDIRECT,Retail,7815470.175
Contingent Labor,HR,CONTINGENT LABOR,HR,,Retail,19544667.38
Direct Mail,Commercial Print & Direct Mail,DIRECT MAIL,PRINT,INDIRECT,Retail,14383190.94
WEB EXPERTISE,DIGITAL,WEB DESIGN,MARKETING,INDIRECT,Consumer Packaged Goods (CPG),17895570.02
WASTE TREATMENT (ELIMINATION AND RECOVERING),GENERAL EXPENSES,WASTE DISPOSAL & RECYCLING,REAL ESTATE & FACILITIES,INDIRECT,Consumer Packaged Goods (CPG),5222110.87
LIMOUSINE,TRAVEL & BUSINESS MOVING,CAR SERVICE,TRAVEL,INDIRECT,Consumer Packaged Goods (CPG),1513923.819
"BUILDING MATERIALS (MARBLE, WOOD)",REAL ESTATE,BUILDING MATERIALS,MRO,INDIRECT,Consumer Packaged Goods (CPG),28412284.82
BUS,TRAVEL & BUSINESS MOVING,CHARTER BUS,TRAVEL,INDIRECT,Consumer Packaged Goods (CPG),1345599.685
SPECIALIZED TEMPORARY WORK,HUMAN RESOURCES,CONTINGENT LABOR,HR,INDIRECT,Consumer Packaged Goods (CPG),1033983.356
POWER TRANSMISSION & BEARINGS,MRO/DIRECT SUPPLIES,POWER TRANSMISSION & BEARINGS,MRO,INDIRECT,Industrial Manufacturing,111187423.2
INDUSTRIAL COATINGS,MRO/DIRECT SUPPLIES,INDUSTRIAL COATINGS,PAINTS & COATINGS,INDIRECT,Industrial Manufacturing,12200061.51
PARKING,TRAVEL,PARKING,TRAVEL,INDIRECT,Industrial Manufacturing,127539.5822
POSTAGE & POSTAGE EQUIPMENT,CORPORATE,POSTAGE & POSTAGE EQUIPMENT,CORPORATE,INDIRECT,Industrial Manufacturing,557739.6777
TRAVEL MANAGEMENT,TRAVEL,TRAVEL MANAGEMENT,TRAVEL,INDIRECT,Business Services,1227684.4
MILEAGE REIMBURSEMENT,FLEET,MILEAGE REIMBURSEMENT,FLEET,INDIRECT,Business Services,49490.27
DATA CENTER & COLOCATION,TECHNOLOGY,DATA CENTER & COLOCATION,INFORMATION TECHNOLOGY,INDIRECT,Business Services,382170.08
BACKGROUND CHECKS & DRUG TESTING,HR,BACKGROUND CHECKS & DRUG TESTING,HR,,Business Services,23144616.67
IT RESEARCH & ADVISORY,TECHNOLOGY,IT RESEARCH & ADVISORY,INFORMATION TECHNOLOGY,INDIRECT,Business Services,87044.57
SHIPPING SUPPLIES,PACKAGING & SHIPPING SUPPLIES,PACKAGING SUPPLIES,PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Food and Beverage,15415245.4
WELDING SUPPLIES,MRO,WELDING SUPPLIES & GASES,MRO,INDIRECT,Food and Beverage,6963263.47
ERP,TECHNOLOGY,ERP,INFORMATION TECHNOLOGY,INDIRECT,Food and Beverage,76886304.33
CLOUD SERVICES,TECHNOLOGY,CLOUD SERVICES,INFORMATION TECHNOLOGY,INDIRECT,Food and Beverage,12233947.88
